T,AT,VT,AM,VM
283,57.6,-186.295808,57.6,-186.295808
284,57.8,-183.2326076,57.8,-183.2326076
285,58,-180.0961166,58,-180.0961166
286,58.2,-176.8875896,58.2,-176.8875896
287,58.4,-173.6083098,58.4,-173.6083098
288,58.6,-170.2595891,58.6,-170.2595891
289,58.8,-166.8427668,58.8,-166.8427668
290,59,-163.3592097,59,-163.3592097
291,59.2,-159.810311,59.2,-159.810311
292,59.4,-156.1974903,59.4,-156.1974903
293,59.6,-152.5221927,59.6,-152.5221927
294,59.8,-148.7858883,59.8,-148.7858883
295,60,-144.9900715,60,-144.9900715
296,60.2,-141.1362606,60.2,-141.1362606
297,60.4,-137.2259971,60.4,-137.2259971
298,60.6,-133.260845,60.6,-133.260845
299,60.8,-129.2423904,60.8,-129.2423904
300,61,-125.1722405,61,-125.1722405
301,61.2,-121.0520234,61.2,-121.0520234
302,61.4,-116.8833871,61.4,-116.8833871
303,61.6,-112.667999,61.6,-112.667999
304,61.8,-108.4075452,61.8,-108.4075452
305,62,-104.1037298,62,-104.1037298
306,62.2,-99.75827436,62.2,-99.75827436
307,62.4,-95.37291691,62.4,-95.37291691
308,62.6,-90.94941157,62.6,-90.94941157
309,62.8,-86.48952767,62.8,-86.48952767
310,63,-81.99504911,63,-81.99504911
311,63.2,-77.46777363,63.2,-77.46777363
312,63.4,-72.90951207,63.4,-72.90951207
313,63.6,-68.32208768,63.6,-68.32208768
314,63.8,-63.70733536,63.8,-63.70733536
315,64,-59.06710096,64,-59.06710096
316,64.2,-54.40324051,64.2,-54.40324051
317,64.4,-49.71761948,64.4,-49.71761948
318,64.6,-45.01211207,64.6,-45.01211207
319,64.8,-40.28860042,64.8,-40.28860042
320,65,-35.54897386,65,-35.54897386
321,65.2,-30.79512819,65.2,-30.79512819
322,65.4,-26.02896488,65.4,-26.02896488
323,65.6,-21.25239033,65.6,-21.25239033
324,65.8,-16.4673151,65.8,-16.4673151
325,66,-11.67565317,66,-11.67565317
326,66.2,-6.879321133,66.2,-6.879321133
327,66.4,-2.08023746,66.4,-2.08023746
328,66.6,2.719678281,66.6,2.719678281
329,66.8,7.518506187,66.8,7.518506187
330,67,12.31432679,67,12.31432679
331,67.2,17.10522183,67.2,17.10522183
332,67.4,21.889275,67.4,21.889275
333,67.6,26.66457276,67.6,26.66457276
334,67.8,31.42920505,67.8,31.42920505
335,68,36.18126607,68,36.18126607
336,68.2,40.91885507,68.2,40.91885507
337,68.4,45.64007707,68.4,45.64007707
338,68.6,50.34304365,68.6,50.34304365
339,68.8,55.02587368,68.8,55.02587368
340,69,59.6866941,69,59.6866941
341,69.2,64.32364063,69.2,64.32364063
342,69.4,68.93485857,69.4,68.93485857
343,69.6,73.51850348,69.6,73.51850348
344,69.8,78.07274197,69.8,78.07274197
345,70,82.59575241,70,82.59575241
346,70.2,87.08572564,70.2,87.08572564
347,70.4,91.54086575,70.4,91.54086575
348,70.6,95.95939073,70.6,95.95939073
349,70.8,100.3395332,70.8,100.3395332
350,71,104.6795413,71,104.6795413
351,71.2,108.9776789,71.2,108.9776789
352,71.4,113.2322269,71.4,113.2322269
353,71.6,117.4414835,71.6,117.4414835
354,71.8,121.603765,71.8,121.603765
355,72,125.7174067,72,125.7174067
356,72.2,129.7807631,72.2,129.7807631
357,72.4,133.792209,72.4,133.792209
358,72.6,137.7501397,72.6,137.7501397
359,72.8,141.6529722,72.8,141.6529722
360,73,145.4991454,73,145.4991454
361,73.2,149.2871209,73.2,149.2871209
362,73.4,153.0153836,73.4,153.0153836
363,73.6,156.6824421,73.6,156.6824421
364,73.8,160.2868297,73.8,160.2868297
365,74,163.8271048,74,163.8271048
366,74.2,167.3018512,74.2,167.3018512
367,74.4,170.7096791,74.4,170.7096791
368,74.6,174.0492253,74.6,174.0492253
369,74.8,177.3191542,74.8,177.3191542
370,75,180.5181579,75,180.5181579
371,75.2,183.6449566,75.2,183.6449566
372,75.4,186.6982998,75.4,186.6982998
373,75.6,189.6769662,75.6,189.6769662
374,75.8,192.5797644,75.8,192.5797644
375,76,195.4055332,76,195.4055332
376,76.2,198.1531424,76.2,198.1531424
377,76.4,200.8214929,76.4,200.8214929
378,76.6,203.4095176,76.6,203.4095176
379,76.8,205.9161811,76.8,205.9161811
380,77,208.340481,77,208.340481
381,77.2,210.6814474,77.2,210.6814474
382,77.4,212.938144,77.4,212.938144
383,77.6,215.1096683,77.6,215.1096683
384,77.8,217.1951515,77.8,217.1951515
385,78,219.1937596,78,219.1937596
386,78.2,221.104693,78.2,221.104693
387,78.4,222.9271876,78.4,222.9271876
388,78.6,224.6605143,78.6,224.6605143
389,78.8,226.3039797,78.8,226.3039797
390,79,227.8569266,79,227.8569266
391,79.2,229.3187337,79.2,229.3187337
392,79.4,230.6888164,79.4,230.6888164
393,79.6,231.9666266,79.6,231.9666266
394,79.8,233.1516533,79.8,233.1516533
395,80,234.2434225,80,234.2434225
396,80.2,235.2414974,80.2,235.2414974
397,80.4,236.1454788,80.4,236.1454788
398,80.6,236.9550052,80.6,236.9550052
399,80.8,237.6697527,80.8,237.6697527
400,81,238.2894355,81,238.2894355
401,81.2,238.8138058,81.2,238.8138058
402,81.4,239.2426536,81.4,239.2426536
403,81.6,239.5758076,81.6,239.5758076
404,81.8,239.8131345,81.8,239.8131345
405,82,239.9545393,82,239.9545393
406,82.2,239.9999655,82.2,239.9999655
407,82.4,239.949395,82.4,239.949395
408,82.6,239.8028478,82.6,239.8028478
409,82.8,239.5603827,82.8,239.5603827
410,83,239.2220967,83,239.2220967
411,83.2,238.788125,83.2,238.788125
412,83.4,238.2586412,83.4,238.2586412
413,83.6,237.6338572,83.6,237.6338572
414,83.8,236.9140228,83.8,236.9140228
415,84,236.0994259,84,236.0994259
416,84.2,235.1903924,84.2,235.1903924
417,84.4,234.1872859,84.4,234.1872859
418,84.6,233.0905076,84.6,233.0905076
419,84.8,231.9004962,84.8,231.9004962
420,85,230.6177277,85,230.6177277
421,85.2,229.2427152,85.2,229.2427152
422,85.4,227.7760087,85.4,227.7760087
423,85.6,226.2181948,85.6,226.2181948
424,85.8,224.5698966,85.8,224.5698966
425,86,222.8317735,86,222.8317735
426,86.2,221.0045206,86.2,221.0045206
427,86.4,219.0888689,86.4,219.0888689
428,86.6,217.0855845,86.6,217.0855845
429,86.8,214.9954688,86.8,214.9954688
430,87,212.8193578,87,212.8193578
431,87.2,210.5581218,87.2,210.5581218
432,87.4,208.2126655,87.4,208.2126655
433,87.6,205.7839268,87.6,205.7839268
434,87.8,203.2728773,87.8,203.2728773
435,88,200.6805214,88,200.6805214
436,88.2,198.0078959,88.2,198.0078959
437,88.4,195.2560699,88.4,195.2560699
438,88.6,192.4261441,88.6,192.4261441
439,88.8,189.5192504,88.8,189.5192504
440,89,186.5365516,89,186.5365516
441,89.2,183.4792406,89.2,183.4792406
442,89.4,180.3485403,89.4,180.3485403
443,89.6,177.145703,89.6,177.145703
444,89.8,173.8720099,89.8,173.8720099
445,90,170.5287702,90,170.5287702
446,90.2,167.1173213,90.2,167.1173213
447,90.4,163.6390277,90.4,163.6390277
448,90.6,160.0952806,90.6,160.0952806
449,90.8,156.4874976,90.8,156.4874976
450,91,152.8171217,91,152.8171217
451,91.2,149.085621,91.2,149.085621
452,91.4,145.294488,91.4,145.294488
453,91.6,141.4452391,91.6,141.4452391
454,91.8,137.5394141,91.8,137.5394141
455,92,133.5785751,92,133.5785751
456,92.2,129.5643064,92.2,129.5643064
457,92.4,125.4982138,92.4,125.4982138
458,92.6,121.3819235,92.6,121.3819235
459,92.8,117.2170821,92.8,117.2170821
460,93,113.0053555,93,113.0053555
461,93.2,108.7484282,93.2,108.7484282
462,93.4,104.4480029,93.4,104.4480029
463,93.6,100.1057999,93.6,100.1057999
464,93.8,95.72355586,93.8,95.72355586
465,94,91.30302369,94,91.30302369
466,94.2,86.84597153,94.2,86.84597153
467,94.4,82.35418214,94.4,82.35418214
468,94.6,77.82945217,94.6,77.82945217
469,94.8,73.27359146,94.8,73.27359146
470,95,68.68842229,95,68.68842229
471,95.2,64.07577867,95.2,64.07577867
472,95.4,59.43750559,95.4,59.43750559
473,95.6,54.7754583,95.6,54.7754583
474,95.8,50.09150156,95.8,50.09150156
475,96,45.38750888,96,45.38750888
476,96.2,40.66536181,96.2,40.66536181
477,96.4,35.92694913,96.4,35.92694913
478,96.6,31.17416616,96.6,31.17416616
479,96.8,26.40891393,96.8,26.40891393
480,97,21.63309849,97,21.63309849
481,97.2,16.8486301,97.2,16.8486301
482,97.4,12.05742248,97.4,12.05742248
483,97.6,7.26139205,97.6,7.26139205
484,97.8,2.462457163,97.8,2.462457163
485,98,-2.337462675,98,-2.337462675
486,98.2,-7.136447559,98.2,-7.136447559
487,98.4,-11.93257796,98.4,-11.93257796
488,98.6,-16.72393549,98.6,-16.72393549
489,98.8,-21.50860366,98.8,-21.50860366
490,99,-26.28466868,99,-26.28466868
491,99.2,-31.05022019,99.2,-31.05022019
492,99.4,-35.80335202,99.4,-35.80335202
493,99.6,-40.54216299,99.6,-40.54216299
494,99.8,-45.26475763,99.8,-45.26475763
495,100,-49.96924697,100,-49.96924697
496,100.2,-54.65374928,100.2,-54.65374928
497,100.4,-59.31639082,100.4,-59.31639082
498,100.6,-63.9553066,100.6,-63.9553066
499,100.8,-68.5686411,100.8,-68.5686411
500,101,-73.15454906,101,-73.15454906
501,101.2,-77.71119618,101.2,-77.71119618
502,101.4,-82.23675986,101.4,-82.23675986
503,101.6,-86.72942993,101.6,-86.72942993
504,101.8,-91.18740938,101.8,-91.18740938
505,102,-95.60891508,102,-95.60891508
506,102.2,-99.9921785,102.2,-99.9921785
507,102.4,-104.3354464,102.4,-104.3354464
508,102.6,-108.6369815,102.6,-108.6369815
509,102.8,-112.8950632,102.8,-112.8950632
510,103,-117.1079884,103,-117.1079884
511,103.2,-121.274072,103.2,-121.274072
512,103.4,-125.3916476,103.4,-125.3916476
513,103.6,-129.4590682,103.6,-129.4590682
514,103.8,-133.4747069,103.8,-133.4747069
515,104,-137.4369575,104,-137.4369575
516,104.2,-141.3442351,104.2,-141.3442351
517,104.4,-145.1949769,104.4,-145.1949769
518,104.6,-148.9876427,104.6,-148.9876427
519,104.8,-152.7207154,104.8,-152.7207154
520,105,-156.3927018,105,-156.3927018
521,105.2,-160.0021333,105.2,-160.0021333
522,105.4,-163.547566,105.4,-163.547566
523,105.6,-167.0275819,105.6,-167.0275819
524,105.8,-170.440789,105.8,-170.440789
525,106,-173.785822,106,-173.785822
526,106.2,-177.0613431,106.2,-177.0613431
527,106.4,-180.2660419,106.4,-180.2660419
528,106.6,-183.3986368,106.6,-183.3986368
529,106.8,-186.4578746,106.8,-186.4578746
530,107,-189.4425318,107,-189.4425318
531,107.2,-192.3514144,107.2,-192.3514144
532,107.4,-195.1833591,107.4,-195.1833591
533,107.6,-197.9372331,107.6,-197.9372331
534,107.8,-200.6119347,107.8,-200.6119347
535,108,-203.2063943,108,-203.2063943
536,108.2,-205.7195741,108.2,-205.7195741
537,108.4,-208.1504687,108.4,-208.1504687
538,108.6,-210.4981059,108.6,-210.4981059
539,108.8,-212.7615467,108.8,-212.7615467
540,109,-214.9398858,109,-214.9398858
541,109.2,-217.0322517,109.2,-217.0322517
542,109.4,-219.0378076,109.4,-219.0378076
543,109.6,-220.9557513,109.6,-220.9557513
544,109.8,-222.7853157,109.8,-222.7853157
545,110,-224.5257689,110,-224.5257689
546,110.2,-226.1764148,110.2,-226.1764148
547,110.4,-227.7365932,110.4,-227.7365932
548,110.6,-229.2056799,110.6,-229.2056799
549,110.8,-230.5830874,110.8,-230.5830874
550,111,-231.8682648,111,-231.8682648
551,111.2,-233.060698,111.2,-233.060698
552,111.4,-234.1599099,111.4,-234.1599099
553,111.6,-235.1654611,111.6,-235.1654611
554,111.8,-236.0769492,111.8,-236.0769492
555,112,-236.8940096,112,-236.8940096
556,112.2,-237.6163156,112.2,-237.6163156
557,112.4,-238.2435783,112.4,-238.2435783
558,112.6,-238.7755467,112.6,-238.7755467
559,112.8,-239.2120081,112.8,-239.2120081
560,113,-239.5527878,113,-239.5527878
561,113.2,-239.7977497,113.2,-239.7977497
562,113.4,-239.9467956,113.4,-239.9467956
563,113.6,-239.999866,113.6,-239.999866
564,113.8,-239.9569397,113.8,-239.9569397
565,114,-239.8180337,114,-239.8180337
566,114.2,-239.5832038,114.2,-239.5832038
567,114.4,-239.2525438,114.4,-239.2525438
568,114.6,-238.826186,114.6,-238.826186
569,114.8,-238.3043008,114.8,-238.3043008
570,115,-237.6870971,115,-237.6870971
571,115.2,-236.9748218,115.2,-236.9748218
572,115.4,-236.1677597,115.4,-236.1677597
573,115.6,-235.2662336,115.6,-235.2662336
574,115.8,-234.2706042,115.8,-234.2706042
575,116,-233.1812696,116,-233.1812696
576,116.2,-231.9986657,116.2,-231.9986657
577,116.4,-230.7232654,116.4,-230.7232654
578,116.6,-229.3555788,116.6,-229.3555788
579,116.8,-227.8961531,116.8,-227.8961531
580,117,-226.345572,117,-226.345572
581,117.2,-224.7044556,117.2,-224.7044556
582,117.4,-222.9734605,117.4,-222.9734605
583,117.6,-221.1532789,117.6,-221.1532789
584,117.8,-219.244639,117.8,-219.244639
585,118,-217.2483042,118,-217.2483042
586,118.2,-215.1650729,118.2,-215.1650729
587,118.4,-212.9957785,118.4,-212.9957785
588,118.6,-210.7412886,118.6,-210.7412886
589,118.8,-208.402505,118.8,-208.402505
590,119,-205.9803631,119,-205.9803631
591,119.2,-203.4758319,119.2,-203.4758319
592,119.4,-200.889913,119.4,-200.889913
593,119.6,-198.2236409,119.6,-198.2236409
594,119.8,-195.4780819,119.8,-195.4780819
595,120,-192.6543344,120,-192.6543344
596,120.2,-189.7535276,120.2,-189.7535276
597,120.4,-186.776822,120.4,-186.776822
598,120.6,-183.7254081,120.6,-183.7254081
599,120.8,-180.6005066,120.8,-180.6005066
600,121,-177.4033672,121,-177.4033672
601,121.2,-174.1352688,121.2,-174.1352688
602,121.4,-170.7975187,121.4,-170.7975187
603,121.6,-167.3914518,121.6,-167.3914518
604,121.8,-163.9184306,121.8,-163.9184306
605,122,-160.3798442,122,-160.3798442
606,122.2,-156.777108,122.2,-156.777108
607,122.4,-153.1116631,122.4,-153.1116631
608,122.6,-149.3849755,122.6,-149.3849755
609,122.8,-145.5985359,122.8,-145.5985359
610,123,-141.7538589,123,-141.7538589
611,123.2,-137.8524821,123.2,-137.8524821
612,123.4,-133.8959663,123.4,-133.8959663
613,123.6,-129.8858938,123.6,-129.8858938
614,123.8,-125.8238687,123.8,-125.8238687
615,124,-121.7115158,124,-121.7115158
616,124.2,-117.5504798,124.2,-117.5504798
617,124.4,-113.3424253,124.4,-113.3424253
618,124.6,-109.0890353,124.6,-109.0890353
619,124.8,-104.7920111,124.8,-104.7920111
620,125,-100.4530715,125,-100.4530715
621,125.2,-96.07395201,125.2,-96.07395201
622,125.4,-91.65640423,125.4,-91.65640423
623,125.6,-87.20219511,125.6,-87.20219511
624,125.8,-82.71310627,125.8,-82.71310627
625,126,-78.1909333,126,-78.1909333
626,126.2,-73.63748499,126.2,-73.63748499
627,126.4,-69.05458268,126.4,-69.05458268
628,126.6,-64.44405945,126.6,-64.44405945
629,126.8,-59.80775946,126.8,-59.80775946
630,127,-55.14753716,127,-55.14753716
631,127.2,-50.46525658,127.2,-50.46525658
632,127.4,-45.76279057,127.4,-45.76279057
633,127.6,-41.04202005,127.6,-41.04202005
634,127.8,-36.30483328,127.8,-36.30483328
